Prod,Engine Type,"Total Impulse (N/S)","Time Delay(Sec.)","Max Lift Wt(g)","Max Thrust(newtons)","Thrust Duration(second)","Initial Weight(g)","Propellant Weight(g)"
1502,1/4A3-3T,0.625,3,28,4.9,0.25,5.6,0.85
1503,1/2A3-2T,1.25,2,57,8.3,0.3,5.6,1.75
1507,A3-4T,2.50,4,57,6.8,0.6,7.6,3.50
1511,A10-3T,2.50,3,85,13.0,0.8,7.9,3.78
1593,1/2A6-2,1.25,2,57,8.9,0.3,15.0,1.56
1598,A8-3,2.50,3,85,10.7,0.5,16.2,3.12
1601,B4-2,5.00,2,113,13.2,1.1,19.8,8.33
1602,B4-4,5.00,4,99,13.2,1.1,21.0,8.33
1605,B6-2,5.00,2,127,12.1,0.8,19.3,6.24
1606,B6-4,5.00,4,113,12.1,0.8,20.1,6.24
1613,C6-3,10.00,3,113,15.3,1.6,24.9,12.48
1614,C6-5,10.00,5,113,15.3,1.6,25.8,12.48
1622,C11-3,10.00,3,170,22.1,0.8,32.2,11.00
1623,C11-5,10.00,5,142,22.1,0.8,33.3,11.00
1666,D12-3,20.00,3,396,32.9,1.6,42.2,24.93
1667,D12-5,20.00,5,283,32.9,1.6,43.1,24.93
1673,E9-4,30.00,4,425,25.0,2.8,56.7,35.80
1674,E9-6,30.00,6,340,25.0,2.8,56.7,35.80
1504,1/2A3-4T,1.25,4,28,8.3,0.3,6.0,1.75
1599,A8-5,2.50,5,57,13.3,0.5,17.6,3.12
1607,B6-6,5.00,6,71,12.1,0.8,22.1,6.24
1615,C6-7,10.00,7,71,15.3,1.6,26.9,12.48
1624,C11-7,10.00,7,113,22.1,0.8,34.5,11.00
1668,D12-7,20.00,7,226,32.9,1.6,44.0,24.93
1675,E9-8,30.00,8,283,25.0,2.8,56.7,35.80
1608,B6-0,5.00,None,113,12.1,0.8,16.4,6.24
1616,C6-0,10.00,None,113,15.3,1.6,22.7,12.48
1621,C11-0,10.00,None,170,22.1,0.8,27.8,11.00
1665,D12-0,20.00,None,396,32.9,1.6,40.9,24.93
1669,D11-P,20.00,None,453,27.6,1.8,44.0,24.93
1676,E9-P,30.00,None,425,25.0,2.8,56.,35.80
